date,avg_polarity,neg_ambience_count,neg_food_count,neg_hygiene_count,neg_price_count,neg_service_count
1/1/2024,-0.014332894,0,3,3,1,1
1/2/2024,0.475093532,0,2,2,0,0
1/3/2024,0.217901391,0,1,1,1,1
1/4/2024,0.239344414,0,3,3,0,0
1/5/2024,-0.39221095,0,4,4,0,0
1/6/2024,-0.824524149,0,4,4,0,0
1/7/2024,-0.082130381,0,2,2,0,0
1/8/2024,0.435749612,0,1,1,1,1
1/9/2024,0.191472777,0,3,3,0,0
1/10/2024,0.583161175,0,1,1,0,0
1/11/2024,-0.856176307,0,2,2,1,1
1/12/2024,0.153980851,0,2,2,0,0
1/13/2024,-0.247409999,0,2,2,0,0
1/14/2024,-0.056723756,0,1,1,1,1
1/15/2024,0.121291134,0,2,2,0,0
1/16/2024,-0.31581756,0,1,1,4,4
1/17/2024,0.527693072,0,1,1,1,1
1/18/2024,-0.576310441,0,4,4,1,1
1/19/2024,-0.284553071,0,2,2,1,1
1/20/2024,0.326523914,0,3,3,0,0
1/21/2024,-0.247409999,0,2,2,0,0
1/22/2024,-0.489489516,0,2,2,4,4
1/23/2024,-0.155374382,0,2,2,3,3
1/24/2024,0.506089725,0,0,0,1,1
1/25/2024,-0.412021366,0,2,2,3,3
1/26/2024,-0.173762348,0,2,2,3,3
1/27/2024,-0.828805071,0,4,4,1,1
1/28/2024,-0.353927497,0,4,4,1,1
1/29/2024,0.612832644,0,1,1,0,0
1/30/2024,-0.247409999,0,2,2,0,0
1/31/2024,-0.486817503,0,2,2,2,2
2/1/2024,0.52063486,0,1,1,0,0
2/2/2024,-0.875845216,0,3,3,1,1
2/3/2024,0.304233453,0,2,2,0,0
2/4/2024,0.221416223,0,2,2,1,1
2/5/2024,-0.898076013,0,4,4,0,0
2/6/2024,-0.457396758,0,2,2,2,2
2/7/2024,-0.257839417,0,3,3,2,2
2/8/2024,-0.885817369,0,3,3,0,0
2/9/2024,0.506089725,0,0,0,1,1
2/10/2024,-0.389354028,0,0,0,3,3
2/11/2024,0.067220703,0,0,0,2,2
2/12/2024,0.07691746,0,1,1,2,2
2/13/2024,-0.038399176,0,1,1,2,2
2/14/2024,-0.011653044,0,1,1,2,2
2/15/2024,0.05998988,0,3,3,0,0
2/16/2024,0.044989906,0,1,1,1,1
2/17/2024,0.025021654,0,3,3,1,1
2/18/2024,-0.232102646,0,1,1,2,2
2/19/2024,0.153980851,0,2,2,0,0
2/20/2024,0.067220703,0,0,0,2,2
2/21/2024,-0.038399176,0,1,1,2,2
2/22/2024,0.371603856,0,0,0,1,1
2/23/2024,-0.50460214,0,3,3,1,1
2/24/2024,0.032294221,0,4,4,0,0
2/25/2024,-0.08605008,0,1,1,3,3
2/26/2024,-0.247409999,0,4,4,0,0
2/27/2024,0.132015059,0,0,0,3,3
2/28/2024,-0.39221095,0,4,4,0,0
2/29/2024,-0.934851944,0,3,3,0,0
3/1/2024,0.612581921,0,1,1,0,0
3/2/2024,0.293655173,0,1,1,1,1
3/3/2024,0.140965911,0,1,1,2,2
3/4/2024,-0.144732792,0,3,3,1,1
3/5/2024,-0.038399176,0,1,1,2,2
3/6/2024,-0.360263757,0,2,2,1,1
3/7/2024,-0.153683644,0,2,2,2,2
3/8/2024,-0.856176307,0,2,2,1,1
3/9/2024,-0.434652709,0,2,2,3,3
3/10/2024,-0.856176307,0,2,2,1,1
3/11/2024,-0.290883043,0,4,4,1,1
3/12/2024,0.309823025,0,0,0,2,2
3/13/2024,-0.257839417,0,3,3,2,2
3/14/2024,-0.048412251,0,3,3,1,1
3/15/2024,-0.345718622,0,3,3,0,0
3/16/2024,-0.576310441,0,4,4,1,1
3/17/2024,0.465075936,0,1,1,0,0
3/18/2024,-0.011653044,0,1,1,2,2
3/19/2024,0.583161175,0,1,1,0,0
3/20/2024,0.104654078,0,2,2,1,1
3/21/2024,-0.370453526,0,1,1,3,3
3/22/2024,-0.043988748,0,3,3,0,0
3/23/2024,-0.284553071,0,2,2,1,1
3/24/2024,-0.374808893,0,1,1,2,2
3/25/2024,0.612581921,0,1,1,0,0
3/26/2024,0.062096929,0,2,2,1,1
3/27/2024,-0.245982993,0,2,2,3,3
3/28/2024,-0.353927497,0,4,4,1,1
3/29/2024,-0.856176307,0,2,2,1,1
3/30/2024,0.248787459,0,3,3,0,0
3/31/2024,-0.040100745,0,2,2,0,0
4/1/2024,-0.098753393,0,1,1,1,1
4/2/2024,-0.854712371,0,4,4,3,3
4/3/2024,-0.586007198,0,3,3,2,2
4/4/2024,0.444061118,0,2,2,0,0
4/5/2024,0.16081255,0,0,0,2,2
4/6/2024,-0.868159555,0,1,1,3,3
4/7/2024,-0.103773081,0,1,1,2,2
4/8/2024,0.680272698,0,1,1,0,0
4/9/2024,0.217901391,0,1,1,1,1
